Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Neph Comm and Caring Achievement Measure Rate,Neph Comm and Caring Measure Score,State Average Neph Comm and Caring Measure Score,National Average Neph Comm and Caring Measure Score,Quality of Dialysis Care and Ops Achievement Measure Rate,Quality of Dialysis Care and Ops Measure Score,State Average Quality of Dialysis Care and Ops Measure Score,National Average Quality of Dialysis Care and Ops Measure Score,Providing Info to Patients Achievement Measure Rate,Providing Info to Patients Measure Score,State Average Providing Info to Patients Measure Score,National Average Providing Info to Patients Measure Score,Overall Rating of Neph Achievement Measure Rate,Overall Rating of Neph Measure Score,State Average Overall Rating of Neph Measure Score,National Average Overall Rating of Neph Measure Score,Overall Rating of Dialysis Staff Achievement Measure Rate,Overall Rating of Dialysis Staff Measure Score,State Average Overall Rating of Dialysis Staff Measure Score,National Average Overall Rating of Dialysis Staff Measure Score,Overall Rating of Dialysis Facility Achievement Measure Rate,Overall Rating of Dialysis Facility Measure Score,State Average Overall Rating of Dialysis Facility Measure Score,National Average Overall Rating of Dialysis Facility Measure Score,ICHCAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),State Average ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score
DSI Wahiawa Dialysis Center,122500,-,850 KILANI AVENUE,WAHIAWA,HI,96786,17,ICH CAHPS,65.24%,4,6,4,69.87%,8,6,4,84.23%,8,5,5,65.01%,6,6,4,73.75%,8,6,4,75.93%,7,7,4,7,-,6,5
DSI WAIPAHU DIALYSIS,122525,-,94-862 KAHUAILANI STREET,WAIPAHU,HI,96797,17,ICH CAHPS,60.54%,2,6,4,61.06%,4,6,4,76.58%,2,5,5,46.33%,0,6,4,63.24%,5,6,4,67.04%,5,7,4,3,-,6,5
DSI - WINDWARD DIALYSIS CENTER,122502,-,45-480 KANEOHE BAY DRIVE #D09,KANEOHE,HI,96744,17,ICH CAHPS,77.41%,9,6,4,65.92%,6,6,4,81.96%,6,5,5,68.63%,7,6,4,66.11%,6,6,4,73.65%,7,7,4,7,-,6,5
DSI Woodstock Renal Center,112700,-,2001 PROFESSIONAL PARKWAY - SUITE 100,WOODSTOCK,GA,30188,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
DUBLIN DIALYSIS CENTER,112844,-,"2400 BELLEVUE RD, STE 29 A",DUBLIN,GA,31021,6,ICH CAHPS,58.02%,0,4,4,57.98%,2,4,4,76.51%,2,4,5,50.28%,1,4,4,56.36%,3,3,4,66.44%,4,4,4,2,-,4,5
"Dublin Kidney Institute, Llc",852550,-,207 INDUSTRIAL BLVD,Dublin,GA,31021,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,5",4,5
DUNN KIDNEY CENTER INC,342557,-,605 TILGHMAN DRIVE,DUNN,NC,28334,6,ICH CAHPS,73.98%,8,3,4,56.07%,1,3,4,82.30%,6,4,5,61.51%,5,3,4,61.82%,5,3,4,72.30%,6,3,4,5,-,4,5
Ea Orange Gen Hospital,312314,310083,310 CENTRAL AVENUE - MEDICAL ARTS BUILDING - DIALYSIS,East Orange,NJ,07017,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,7,5,5
EASTCHASE DIALYSIS CENTER,672747,-,1451 EASTCHASE PARKWAY,FORT WORTH,TX,76120,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
EAST END DIALYSIS MANAGEMENT LLC,332658,-,762 HARRISON AVENUE - SOUTH BUILDING,RIVERHEAD,NY,11901,2,ICH CAHPS,67.24%,5,4,4,68.68%,8,4,4,73.13%,0,3,5,52.33%,1,3,4,60.20%,4,4,4,61.86%,3,4,4,4,-,4,5
East Hartford Dialysis Center,072509,-,200 PITKIN STREET,EAST HARTFORD,CT,06108,1,ICH CAHPS,63.71%,3,4,4,62.28%,5,5,4,82.30%,6,6,5,53.06%,3,3,4,64.12%,5,5,4,73.77%,7,5,4,5,-,5,5
East Henrico Dialysis Center,492702,-,3384 CREIGHTON ROAD,RICHMOND,VA,23223,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
Eastland Memorial Hospital District,453517,450411,2300 WEST COMMERCE ST,EASTLAND,TX,76448,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
East Los Angeles Dialysis Center,552574,-,5830 E. WHITTIER BLVD.,East Los Angeles,CA,90022,18,ICH CAHPS,60.79%,2,5,4,51.80%,0,6,4,77.22%,3,5,5,49.40%,1,5,4,53.32%,2,6,4,53.52%,0,6,4,1,-,6,5
East Palmdale Dialysis Center,052867,-,2710 E. PALMDALE BLVD.,Palmdale,CA,93550,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,7,6,5
East Springfield Dialysis (BMA of Massachusetts),222535,-,1515 STATE STREET,SPRINGFIELD,MA,01109,1,ICH CAHPS,79.67%,10,5,4,71.33%,9,5,4,83.39%,7,5,5,73.62%,9,5,4,70.75%,7,5,4,79.86%,9,5,4,9,-,5,5
East Tennessee Dialysis Center,442726,-,1629 EAST BROADWAY AVENUE,MARYVILLE,TN,37804,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",5,5
"Egonsa Dialysis, LLC",742536,-,2500 SOUTH JACKSON RD,McAllen,TX,78503,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
Eisenhower Parkway Dialysis,112735,-,2525 SECOND STREET,MACON,GA,31206,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
ELIK DIALYSIS HOME THERAPY,672626,-,1445 NORTH LOOP WEST - SUITE 720,HOUSTON,TX,77008,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5",5,5
ELIZABETH C HOSICK DIALYSIS CTR,232681,-,225 PARK AVE,FRANKFORT,MI,49635,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,7,5,5
"ELIZABETHTOWN CENTER, LLC",332710,-,75 PARK STREET,ELIZABETHTOWN,NY,12932,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,7,4,5
Elkin Dialysis Center of Wake Forest University,342614,-,941 JOHNSON RIDGE RD,ELKIN,NC,28621,6,ICH CAHPS,74.78%,8,3,4,72.89%,10,3,4,82.46%,6,4,5,83.80%,10,3,4,76.05%,9,3,4,79.62%,9,3,4,9,-,4,5
ELLENWOOD DIALYSIS CENTER,112847,-,209 BENNETTE BLVD,ELLENWOOD,GA,30294,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
Ellsworth Dialysis LLC,742513,-,4601 MEDICAL CENTER DR STE G,MCKINNEY,TX,75069,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"5,9",5,5
"Elmore Dialysis, LLC",742559,-,241 N PRESTON RD STE A,Prosper,TX,75078,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
"El Paso Health II, LLC",742517,-,1120 MCRAE BLVD - BLDG D,El Paso,TX,79925,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"5,7,9",5,5
"El Paso Health, LLC",672887,-,2400 N OREGON ST STE C,El Paso,TX,79902,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"7,9",5,5
Emory Dialysis LLC,112823,-,2841 GREENBRIAR PKWY SW - SUITE X126,ATLANTA,GA,30331,6,ICH CAHPS,71.06%,6,4,4,56.70%,3,4,4,78.64%,4,4,5,65.39%,6,4,4,58.22%,3,3,4,56.62%,1,4,4,4,-,4,5
Emory Dialysis LLC,112824,-,610 NORTHSIDE DRIVE NW,ATLANTA,GA,30318,6,ICH CAHPS,65.78%,4,4,4,60.57%,4,4,4,79.65%,4,4,5,61.05%,4,4,4,54.76%,2,3,4,63.56%,4,4,4,4,-,4,5
Emory Dialysis LLC,112826,-,2726 CANDLER ROAD,DECATUR,GA,30034,6,ICH CAHPS,66.91%,4,4,4,56.78%,2,4,4,77.13%,3,4,5,55.66%,3,4,4,44.89%,0,3,4,50.65%,0,4,4,2,-,4,5
Emory Dialysis LLC,852537,-,2165 NORTH DECATUR ROAD - SUITE 100,DECATUR,GA,30033,6,ICH CAHPS,59.66%,1,4,4,58.07%,2,4,4,68.72%,0,4,5,55.68%,3,4,4,52.54%,2,3,4,58.67%,2,4,4,2,-,4,5
"Emory Dialysis, LLC",112884,-,5673 PEACHTREE DUNWOODY ROAD - SUITE 501,ATLANTA,GA,30342,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,"4,5,7",4,5
ENDEAVOR DIALYSIS,012643,-,1675 SPARKMAN DRIVE,HUNTSVILLE,AL,35816,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
Enfield Dialysis Center,072506,-,113 ELM STREET,ENFIELD,CT,06082,1,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
ERIE COUNTY MEDICAL CENTER,332350,330219,462 GRIDER STREET - DIALYSIS UNIT,Buffalo,NY,14215,2,ICH CAHPS,72.25%,7,4,4,68.13%,8,4,4,86.92%,9,3,5,72.77%,8,3,4,90.71%,10,4,4,93.34%,10,4,4,9,-,4,5
ETOWAH DIALYSIS LLC,392889,-,"2550 ROUTE 100, SUITE 2",Macungie,PA,18062,4,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
EXCEL RENAL CARE SERVICES,142862,-,3002 N ASHLAND AVE,Chicago,IL,60657,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",5,5
FAIRFAX DIALYSIS CENTER,492504,-,8316 ARLINGTON BLVD - STE 108,FAIRFAX,VA,22031,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FAIRFIELD KIDNEY CENTER,362693,-,"618 PLEASANTVILLE  ROAD, STE 102",LANCASTER,OH,43130,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,6,5
Fall River Kidney Center LLC,222516,-,48 WEAVER STREET,FALL RIVER,MA,02720,1,ICH CAHPS,66.97%,4,5,4,68.77%,8,5,4,80.91%,5,5,5,66.16%,6,5,4,69.55%,7,5,4,64.83%,4,5,4,6,-,5,5
FALLS COUNTY KIDNEY CENTER,452753,-,602 HWY 6 SOUTH,MARLIN,TX,76661,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
FARMERS BRANCH DIALYSIS CENTER,452682,-,2280 SPRINGLAKE ROAD - SUITE 110,FARMERS BRANCH,TX,75234,14,ICH CAHPS,78.80%,10,5,4,72.70%,10,4,4,81.05%,6,4,5,66.59%,6,4,4,83.31%,10,4,4,88.10%,10,5,4,9,-,5,5
Farmington Dialysis Clinic,262612,-,1370 W LIBERTY ST,FARMINGTON,MO,63640,12,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
Faxton-St. Luke's Healthcare,333500,-,131 MAIN STREET - SUITE 101,ONEIDA,NY,13421,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",4,5
FAXTON-ST. LUKES HEALTHCARE,332309,330044,1676 SUNSET AVE,UTICA,NY,13502,2,ICH CAHPS,57.86%,0,4,4,50.97%,0,4,4,74.57%,1,3,5,54.42%,2,3,4,53.72%,2,4,4,49.49%,0,4,4,1,-,4,5
Faxton St Luke's Healthcare - HAMILTON,333567,-,"10 EATON STREET, SUITE 102",HAMILTON,NY,13346,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",4,5
Faxton St. Luke's Healthcare - HERKIMER,333520,-,201 EAST STATE STREET,HERKIMER,NY,13350,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",4,5
Faxton St. Luke's Healthcare - MASONIC,333552,-,2150 BLEEKER STREET,UTICA,NY,13501,2,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,4,5
Faxton St. Luke's Healthcare - Rome,333529,-,91 PERIMETER RD-GRIFFISS PARK - ROME DIALYSIS CLINIC,ROME,NY,13440,2,ICH CAHPS,56.59%,0,4,4,68.42%,8,4,4,83.20%,7,3,5,51.43%,1,3,4,79.25%,10,4,4,76.39%,8,4,4,6,-,4,5
FAYETTEVILLE KIDNEY CENTER,342510,-,2560 LEGION   ROAD,FAYETTEVILLE,NC,28306,6,ICH CAHPS,69.82%,6,3,4,58.84%,3,3,4,78.86%,4,4,5,55.11%,4,3,4,52.73%,2,3,4,58.93%,2,3,4,4,-,4,5
FIRELANDS BELLEVUE DIALYSIS CENTER,363511,-,"290 PROGRESS DRIVE, SUITE A",BELLEVUE,OH,44811,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,6,5
FIRELANDS DIALYSIS CENTER SOUTH,362322,360024,904 PIERCE STREET,SANDUSKY,OH,44870,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,6,5
"First Class Kidney Care Dialysis Center, LLC",682673,-,3170 NORTH FEDERAL HIGHWAY - SUITE 107,Lighthouse Point,FL,33064,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",5,5
"FIRST PREVENTION & DIALYSIS CENTER, LLC",682597,-,17940 NW 27TH  AVENUE,MIAMI GARDENS,FL,33056,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FISHKILL DIALYSIS CENTER,332688,-,60 MERRITT BLVD SUITE 103,FISHKILL,NY,12524,2,ICH CAHPS,78.12%,9,4,4,61.46%,4,4,4,82.41%,6,3,5,64.44%,5,3,4,66.16%,6,4,4,71.54%,6,4,4,6,-,4,5
FKC - ABITA,192710,-,21501 HWY 36,ABITA SPRINGS,LA,70420,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
FKC ACC Livingston St Barnabas So Orange Ave,312576,-,ACC LIVINGSTON HEMODIALYSIS - 200 SO ORANGE AVENUE,LIVINGSTON,NJ,07039,3,ICH CAHPS,66.49%,4,5,4,69.28%,8,5,4,78.73%,4,5,5,71.30%,8,4,4,74.09%,8,5,4,74.26%,7,5,4,7,-,5,5
FKC - ALGIERS,192742,-,2908 GENERAL DEGUALLE DR,NEW ORLEANS,LA,70114,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
FKC Arab,012561,-,310 SOUTH BRINDLEE MOUNTAIN PARKWAY,Arab,AL,35016,8,ICH CAHPS,66.03%,4,4,4,66.95%,7,4,4,83.63%,7,5,5,70.21%,7,4,4,79.77%,10,4,4,82.65%,10,4,4,8,-,4,5
FKC BAYONNE,312687,-,DIALYSIS UNIT - 29 EAST 29TH STREET,BAYONNE,NJ,07002,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
FKC - BAYOU ROBERTS,192753,-,5820 MASONIC DR,ALEXANDRIA,LA,71301,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,7,9",4,5
FKC - BELLEAIR DIALYSIS CENTER,102835,-,617 LAKEVIEW ROAD SUITE B,CLEARWATER,FL,33756,7,ICH CAHPS,78.46%,9,4,4,68.78%,8,4,4,83.57%,7,4,5,77.37%,10,4,4,80.46%,10,4,4,83.19%,10,4,4,9,-,5,5
FKC Belleville,312686,-,36 NEWARK AVENUE SUITE 304,Belleville,NJ,07109,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,9,5,5
FKC - BELLEVILLE,142839,-,6525 W MAIN STREET,BELLEVILLE,IL,62223,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FKC - BERWYN,142533,-,2601 S HARLEM AVENUE,BERWYN,IL,60402,10,ICH CAHPS,75.08%,8,4,4,62.12%,5,4,4,81.26%,6,4,5,73.67%,9,3,4,61.26%,4,4,4,69.01%,5,4,4,6,-,5,5
FKC - BEVERLY MATHIS MEMORIAL DIALYSIS,372610,-,5230 S MINGO RD,TULSA,OK,74146,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
FKC - BLOOMINGTON HOME,142846,-,"3901 GENERAL ELECTRIC ROAD, SUITE 1",BLOOMINGTON,IL,61704,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",5,5
FKC Boardwalk,312688,-,DIALYSIS UNIT - 1925 PACIFIC AVENUE,ATLANTIC CITY,NJ,08401,3,ICH CAHPS,No Rate,0,5,4,No Rate,0,5,4,No Rate,0,5,5,No Rate,0,4,4,No Rate,0,5,4,No Rate,0,5,4,0,-,5,5
FKC - BRISTOW,372584,-,402 S MAIN ST,BRISTOW,OK,74010,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
FKC - CALCASIEU PARISH,192748,-,1000 BEGLIS PARKWAY,SULPHUR,LA,70663,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
FKC- Centerville Home,362875,-,7700 WASHINGTON VILLAGE DRIVE,DAYTON,OH,45459,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,7",6,5
FKC - CENTRAL LOUISIANA,192733,-,4715 SOUTH MACARTHUR DRIVE,ALEXANDRIA,LA,71302,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
FKC - CHALMETTE,192740,-,3027 JEAN LAFITTE PKWY,CHALMETTE,LA,70043,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
FKC - CHICAGO HEIGHTS,142832,-,15 E INDEPENDENCE DRIVE,CHICAGO HEIGHTS,IL,60411,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
FKC CIUDAD CRIOLLA,402558,-,ROAD 172 3RD FL - URB TURABO GARDENS,CAGUAS,PR,00726,3,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,8,5,No Rate,No Score,4,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,"4,5,6,7,9",5,5
FKC COLUMBIA BASIN,502518,-,6600 WEST RIO GRANDE AVENUE,KENNEWICK,WA,99336,16,ICH CAHPS,No Rate,No Score,7,4,No Rate,No Score,6,4,No Rate,No Score,6,5,No Rate,No Score,7,4,No Rate,No Score,6,4,No Rate,No Score,7,4,No Score,4,7,5
FKC - EAST AURORA,142837,-,810 NORTH FARNSWORTH AVENUE,AURORA,IL,60505,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,7",5,5
FKC - EAST HOUMA,192708,-,707 GRAND CAILLOU RD,HOUMA,LA,70363,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
FKC - EAST LAKE CHARLES,192588,-,3214 VENTURE PARK DRIVE,LAKE CHARLES,LA,70615,13,ICH CAHPS,70.44%,6,4,4,56.92%,2,3,4,78.11%,3,3,5,70.57%,8,4,4,55.29%,2,3,4,71.26%,6,3,4,5,-,4,5
FKC - EAST PEORIA HOME,142859,-,415 RICHLAND ST,EAST PEORIA,IL,61611,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",5,5
FKC - ELGIN,142856,-,770 N MCLEAN BOULEVARD,SOUTH ELGIN,IL,60177,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7,9",5,5
FKC - El Paso West,672836,-,1430 NORTHWESTERN DRIVE,EL PASO,TX,79912,14,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
FKC-Four Corners,682676,-,503 CAGAN VIEW ROAD - SUITE 300,Clermont,FL,34714,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",5,5
FKC - GENTILLY,192754,-,6101 ELYSIAN FIELDS AVE,NEW ORLEANS,LA,70122,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,9",4,5
FKC - HOUMA HOME PROGRAM,192747,-,143 WAR HORSE PLACE,HOUMA,LA,70360,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,7",4,5
FKC - J.H. LEE KIDNEY CENTER,192723,-,5348 FLANDERS DRIVE,BATON ROUGE,LA,70808,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
FKC - KENNER HOME THERAPIES,192718,-,"3409 WILLIAMS BLVD, SUITE 2",KENNER,LA,70065,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,7",4,5
FKC - LAKE BLUFF,142669,-,"101 WAUKEGAN ROAD, SUITE 700",LAKE BLUFF,IL,60044,10,ICH CAHPS,72.66%,7,4,4,69.07%,8,4,4,84.52%,8,4,5,64.95%,6,3,4,73.36%,8,4,4,84.96%,10,4,4,8,-,5,5
