Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2015 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of Ownership Record Update
FMC - DIALYSIS SPECIALISTS OF MARIETTA,362571,,,,14-16 ACME STREET,,MARIETTA,OH,45750,9,10,0%,13,0%,18,Achievement,6,93%,24,178,90%,191,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,10,77%,19,188,68%,196,Achievement,8,8%,18,175,17%,191,Achievement,9,10,10,10,10,88,No reduction,01/03/1997,FRESENIUS MEDICAL CARE,06/19/2012
MIDDLEBURG HEIGHTS DIALYSIS,362572,,,,7360 ENGLE ROAD,,MIDDLEBURG HEIGHTS,OH,44130,9,10,0%,40,0%,44,Achievement,5,92%,49,355,95%,418,Achievement,N/A,Insufficient data,N/A,28,Insufficient data,22,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,3,56%,48,447,56%,502,Achievement,10,3%,50,410,9%,448,Achievement,7,10,10,10,10,80,No reduction,01/07/1997,DAVITA,05/09/2012
FMC - DIALYSIS SPECIALISTS OF COLUMBUS,362575,,,,1303 OLENTANGY RIVER ROAD SUITE 100,,COLUMBUS,OH,43212,9,10,0%,31,0%,35,Achievement,1,86%,47,332,85%,410,Achievement,N/A,Insufficient data,N/A,63,81%,68,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,3,55%,34,332,60%,420,Achievement,7,9%,39,314,11%,395,Achievement,5,10,10,10,10,65,No reduction,02/28/1997,FRESENIUS MEDICAL CARE,08/27/2013
FMC - DIALYSIS SPECIALISTS OF FAIRFIELD,362576,,,,4750 DIXIE HIGHWAY,,FAIRFIELD,OH,45014,9,10,0%,72,0%,68,Achievement,5,91%,83,714,90%,719,Achievement,4,74%,18,92,Insufficient data,64,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,2,52%,75,769,53%,751,Achievement,0,23%,78,739,23%,714,Achievement,1,10,N/A,10,10,65,No reduction,01/12/1995,FRESENIUS MEDICAL CARE,08/29/2012
"NEPHROLOGY ASSOCIATES OF CLEVELAND, LTD.",362577,,,,25301 EUCLID AVENUE,,EUCLID,OH,44117,9,10,0%,146,1%,160,Achievement,5,92%,208,1508,92%,1843,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,6,64%,167,1534,66%,1846,Achievement,8,8%,183,1298,7%,1724,Achievement,7,10,10,10,10,80,No reduction,01/22/1997,OTHER CHAIN(number of facilities <20 ),06/15/2012
"CENTER FOR DIALYSIS CARE HOME CARE, LTD.",362578,,,,25301 EUCLID AVENUE,,EUCLID,OH,44117,9,N/A,Insufficient data,6,Insufficient data,9,N/A,N/A,Insufficient data,N/A,1,Insufficient data,2,N/A,N/A,Insufficient data,N/A,68,Insufficient data,51,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,Insufficient data,N/A,70,Insufficient data,95,N/A,N/A,Insufficient data,N/A,64,8%,90,N/A,N/A,N/A,N/A,10,10,No Score Calculated,No reduction,01/22/1997,OTHER CHAIN(number of facilities <20 ),06/15/2012
FMC - HOCKING HILLS DIALYSIS CENTER,362579,,,,1550 SHERIDAN DRIVE SUITE 306,,LANCASTER,OH,43130,9,10,0%,43,2%,50,Achievement,5,92%,64,452,96%,506,Achievement,N/A,Insufficient data,N/A,19,Insufficient data,40,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,6,63%,49,479,60%,537,Achievement,5,13%,54,444,15%,506,Achievement,5,10,10,10,10,75,No reduction,04/14/1997,FRESENIUS MEDICAL CARE,03/05/2012
FMC - TUSCARAWAS COUNTY KIDNEY CENTER,362580,,,,1260 MONROE AVENUE NORTHWEST SUITE 41T,,NEW PHILADELPHIA,OH,44663,9,10,0%,24,0%,26,Achievement,10,98%,38,322,98%,345,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,63%,35,337,58%,351,Achievement,3,17%,35,310,19%,337,Achievement,5,10,10,10,10,88,No reduction,03/24/1997,FRESENIUS MEDICAL CARE,08/28/2012
FMC - MEDINA COUNTY KIDNEY CENTER,362581,,,,970 EAST WASHINGTON STREET,SUITE B3,MEDINA,OH,44256,9,10,0%,27,3%,36,Achievement,6,93%,46,313,95%,413,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,10,77%,37,338,74%,425,Achievement,10,5%,40,301,9%,371,Achievement,10,10,10,10,10,90,No reduction,07/16/1997,FRESENIUS MEDICAL CARE,04/18/2013
"NEPHROLOGY ASSOCIATES OF CLEVELAND, LTD.",362582,,,,4877 GALAXY PARKWAY SUITE A,,WARRENSVILLE HEIGHTS,OH,44128,9,10,0%,109,2%,112,Achievement,10,98%,156,1333,98%,1406,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,65%,131,1356,66%,1406,Achievement,8,7%,137,1284,7%,1357,Achievement,7,10,10,10,10,93,No reduction,07/23/1997,OTHER CHAIN(number of facilities <20 ),06/15/2012
FMC - CRAWFORD COUNTY KIDNEY CENTER,362583,,,,701 TIFFIN STREET,,BUCYRUS,OH,44820,9,10,0%,41,5%,43,Achievement,6,93%,48,460,92%,455,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,8,71%,48,511,62%,525,Achievement,2,19%,51,484,19%,477,Achievement,5,10,10,10,10,78,No reduction,06/04/1997,FRESENIUS MEDICAL CARE,07/27/2010
"INNOVATIVE SYSTEMS OF TOLEDO, LTD",362584,,,,3829 WOODLEY ROAD SUITE C-12,,TOLEDO,OH,43606,9,10,0%,37,0%,49,Achievement,9,96%,53,464,96%,534,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,1,49%,46,491,44%,566,Achievement,4,15%,47,467,16%,532,Achievement,3,10,10,10,10,80,No reduction,09/10/1997,"US RENAL CARE, INC.",01/14/2014
FMC - DIALYSIS SPECIALISTS OF NORTHEAST OHIO,362585,,,,1070 ABBE ROAD NORTH,,ELYRIA,OH,44035,9,6,2%,45,0%,55,Achievement,3,89%,68,571,94%,583,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,5,60%,60,615,55%,629,Achievement,5,14%,65,574,14%,586,Achievement,5,10,10,6,10,58,0.5%,07/30/1997,FRESENIUS MEDICAL CARE,01/07/2014
DAVITA - TOLEDO DIALYSIS,362587,,,,"1614 SOUTH BYRNE ROAD, SUITE R",,TOLEDO,OH,43614,9,10,0%,39,0%,51,Achievement,10,97%,48,391,95%,407,Achievement,N/A,Insufficient data,N/A,20,Insufficient data,25,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,60%,44,465,60%,509,Achievement,6,11%,48,452,14%,462,Achievement,6,10,10,10,10,90,No reduction,12/05/1997,DAVITA,03/10/2011
FMC - ELYRIA RENAL CARE GROUP,362589,360145,,,5316 HOAG DRIVE H MCDONALD DIALYSIS CENTER,,ELYRIA,OH,44035,9,10,0%,27,4%,25,Achievement,6,93%,43,320,89%,266,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,7,68%,35,362,63%,297,Achievement,7,9%,37,327,13%,277,Achievement,7,10,10,7,10,81,No reduction,11/08/1979,FRESENIUS MEDICAL CARE,05/09/2012
FMC - OHIO RENAL CARE GROUP-NORTH RANDALL,362590,,,,4750 NORTHFIELD ROAD,,NORTH RANDALL,OH,44128,9,10,0%,36,3%,39,Achievement,6,93%,54,466,89%,480,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,9,72%,45,462,64%,466,Achievement,10,2%,48,433,5%,418,Achievement,10,10,10,10,10,90,No reduction,08/15/1997,FRESENIUS MEDICAL CARE,10/16/2012
FMC - FARNSWORTH DIALYSIS,362591,360059,,,3764 PEARL ROAD,,CLEVELAND,OH,44109,9,10,0%,59,0%,78,Achievement,0,83%,94,859,93%,941,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,6,64%,83,890,61%,1009,Achievement,10,5%,89,868,4%,953,Achievement,8,10,10,10,10,70,No reduction,10/01/1997,FRESENIUS MEDICAL CARE,05/15/2012
DAVITA - MIDWEST SPRINGFIELD DIALYSIS,362592,,,,2200 NORTH LIMESTONE STREET SUITE 104,,SPRINGFIELD,OH,45503,9,6,2%,52,2%,52,Achievement,10,97%,60,479,95%,531,Achievement,10,95%,16,122,85%,118,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,62%,47,491,58%,539,Achievement,6,11%,52,467,10%,543,Achievement,6,10,10,10,10,80,No reduction,03/27/1998,DAVITA,08/29/2012
"NEPHROLOGY ASSOCIATES OF CLEVELAND, LTD.",362593,,,,6606 CARNEGIE AVENUE,,CLEVELAND,OH,44103,9,10,0%,53,1%,68,Achievement,6,93%,74,599,93%,747,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,4,57%,62,631,48%,756,Achievement,5,13%,64,594,16%,736,Achievement,5,10,10,10,10,78,No reduction,01/01/1998,OTHER CHAIN(number of facilities <20 ),08/13/2013
DAVITA SOUTHWEST OHIO DIALYSIS,362594,,,,215 SOUTH ALLISON AVENUE,,XENIA,OH,45385,9,4,3%,39,0%,36,Achievement,6,93%,44,300,96%,341,Achievement,9,92%,17,135,Insufficient data,64,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,8,70%,38,345,73%,356,Achievement,6,12%,41,306,12%,334,Achievement,7,10,10,10,10,70,No reduction,05/20/1998,DAVITA,11/15/2012
DAVITA - DAYTON NORTH DIALYSIS,362595,,,,455 TURNER ROAD,,DAYTON,OH,45415,9,10,0%,137,1%,155,Achievement,5,92%,197,1768,96%,1842,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,7,66%,168,1841,63%,1941,Achievement,3,17%,179,1787,17%,1796,Achievement,5,10,8,10,10,74,No reduction,06/17/1998,DAVITA,03/11/2014
FMC - SIDNEY DIALYSIS,362597,,,,1015 FAIR ROAD,,SIDNEY,OH,45365,9,10,0%,30,0%,19,Achievement,0,85%,44,341,91%,227,Achievement,N/A,Insufficient data,N/A,11,Insufficient data,9,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,7,68%,36,352,63%,240,Achievement,8,8%,40,309,14%,222,Achievement,8,10,10,6,10,68,No reduction,07/08/1998,FRESENIUS MEDICAL CARE,12/23/2009
FMC - AKRON EAST,362598,,,,199 PERKINS STREET,,AKRON,OH,44304,9,10,0%,85,0%,98,Achievement,2,88%,113,866,93%,907,Achievement,7,85%,27,227,83%,264,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,5,60%,86,882,52%,940,Achievement,6,11%,97,837,14%,859,Achievement,6,10,10,10,10,73,No reduction,06/30/1998,FRESENIUS MEDICAL CARE,08/27/2009
FMC - KNOX COUNTY KIDNEY CENTER,362599,,,,14 WOOD LAKE TRAIL,,MOUNT VERNON,OH,43050,9,10,0%,32,0%,38,Achievement,5,91%,56,395,93%,452,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,2,53%,44,411,59%,502,Achievement,0,23%,49,384,18%,439,Achievement,1,10,10,9,10,64,No reduction,05/11/1998,FRESENIUS MEDICAL CARE,05/10/2012
BELDEN COMMUNITY DIALYSIS,362600,,,,4685 FULTON ROAD NORTHWEST,,CANTON,OH,44718,9,8,1%,86,1%,103,Achievement,6,93%,122,750,95%,823,Achievement,7,86%,32,269,84%,229,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,5,60%,93,908,57%,1013,Achievement,6,12%,104,834,16%,916,Achievement,6,10,10,10,10,75,No reduction,09/02/1998,DAVITA,08/29/2012
DAVITA - FAIRFIELD DIALYSIS,362602,,,,1210 HICKS BOULEVARD,,FAIRFIELD,OH,45014,9,10,0%,30,0%,35,Achievement,10,97%,46,369,95%,406,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,1,49%,38,384,53%,408,Achievement,8,7%,40,351,5%,387,Achievement,5,10,10,10,10,88,No reduction,10/16/1998,DAVITA,08/23/2012
CENTER FOR DIALYSIS CARE AT HEATHER HILL,362603,,,,12340 BASSLAKE ROAD,,HEATHER HILL,OH,44024,9,10,0%,39,0%,41,Achievement,10,97%,73,462,96%,473,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,62%,46,455,65%,485,Achievement,5,13%,52,428,6%,394,Achievement,5,10,10,10,10,88,No reduction,01/01/1998,OTHER CHAIN(number of facilities <20 ),08/13/2013
FMC- ARROWHEAD DIALYSIS CENTER,362604,363503,,,322 WEST DUSSEL DRIVE,,MAUMEE,OH,43537,9,10,0%,66,0%,65,Achievement,4,90%,101,717,88%,681,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,4,3,55%,85,809,58%,740,Achievement,1,21%,91,732,17%,679,Achievement,2,10,10,8,10,64,No reduction,05/02/1994,FRESENIUS MEDICAL CARE,02/22/2011
FMC - TOLEDO CENTRAL DIALYSIS,362607,363506,,,"3100 WEST CENTRAL AVENUE, SUITE 100",,TOLEDO,OH,43606,9,10,0%,72,0%,76,Achievement,6,93%,104,839,90%,858,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,0,36%,80,861,44%,866,Achievement,4,15%,84,819,16%,830,Achievement,2,10,10,10,10,70,No reduction,03/16/1981,FRESENIUS MEDICAL CARE,09/02/2010
FAIRFIELD HOME TRAINING DIALYSIS,362608,,,,1210 HICKS BOULEVARD,,FAIRFIELD,OH,45014,9,N/A,Insufficient data,6,Insufficient data,8,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,100%,14,139,96%,139,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,N/A,No Score Calculated,No reduction,12/07/1998,DAVITA,02/11/2013
FMC - WESTLAKE DIALYSIS CENTER,362609,,,,26024 DETROIT ROAD,,WESTLAKE,OH,44145,9,10,0%,33,0%,47,Achievement,0,74%,55,310,80%,460,Achievement,5,77%,16,117,Insufficient data,75,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,1,9,73%,37,303,68%,498,Achievement,7,10%,46,283,13%,441,Achievement,8,10,10,9,9,71,No reduction,02/10/1999,FRESENIUS MEDICAL CARE,08/23/2012
ROCKY RIVER DIALYSIS,362610,,,,"20220 CENTER RIDGE ROAD, SUITE 50",,ROCKY RIVER,OH,44116,9,10,0%,15,0%,18,Achievement,4,90%,41,198,98%,189,Achievement,N/A,Insufficient data,N/A,15,Insufficient data,18,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,4,10,75%,18,178,67%,192,Achievement,3,21%,18,160,30%,169,Improvement,7,10,10,10,10,78,No reduction,01/13/1999,DAVITA,09/20/2012
DAVITA - WINTON ROAD DIALYSIS,362611,,,,6550 WINTON ROAD,,CINCINNATI,OH,45224,9,10,0%,74,0%,72,Achievement,10,98%,95,834,99%,786,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,57%,88,909,56%,808,Achievement,8,8%,91,851,9%,734,Achievement,6,10,10,10,10,90,No reduction,03/10/1999,DAVITA,09/13/2013
"ARC/CDC, LTD.",362612,,,,3695 STUTZ DRIVE,,CANFIELD,OH,44406,9,10,0%,47,0%,49,Achievement,5,92%,62,532,95%,591,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,5,60%,53,554,57%,603,Achievement,7,10%,57,509,13%,567,Achievement,6,10,10,10,10,78,No reduction,03/25/1999,OTHER CHAIN(number of facilities <20 ),08/13/2013
DAVITA - SUMMIT RENAL CARE,362613,,,,73 MASSILLON ROAD,,AKRON,OH,44312,9,10,0%,51,0%,59,Achievement,10,97%,51,397,97%,409,Achievement,9,93%,24,191,95%,247,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,59%,44,470,52%,490,Achievement,5,13%,52,460,17%,463,Achievement,5,10,10,10,10,88,No reduction,04/20/1999,DAVITA,04/17/2012
HUBBARD ROAD DIALYSIS,362614,,,,1963 HUBBARD ROAD,,MADISON,OH,44057,9,10,0%,22,5%,22,Achievement,9,96%,31,241,93%,259,Achievement,N/A,Insufficient data,N/A,10,Insufficient data,5,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,10,84%,27,263,94%,277,Achievement,9,6%,29,242,1%,254,Achievement,9,10,10,10,10,95,No reduction,03/08/1999,DAVITA,08/14/2013
FMCNA - REGENCY,362616,,,,2000 REGENCY MANOR CIRCLE SUITE 100,,COLUMBUS,OH,43207,9,10,0%,29,0%,38,Achievement,5,91%,59,363,91%,363,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,0,35%,38,350,38%,365,Achievement,2,37%,44,298,45%,312,Improvement,1,10,10,8,10,64,No reduction,10/06/1999,FRESENIUS MEDICAL CARE,05/08/2012
FMC - STREETSBORO KIDNEY CENTER,362617,,,,"9200 STAPLES DRIVE, SUITE A",,STREETSBORO,OH,44241,9,10,0%,26,0%,25,Achievement,10,97%,37,330,95%,286,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,89%,33,342,74%,303,Achievement,10,5%,34,315,8%,279,Achievement,10,10,10,9,10,99,No reduction,11/02/1999,FRESENIUS MEDICAL CARE,07/01/2010
FMC - BOARDMAN DIALYSIS,362618,,,,257 BOARDMAN-CANFIELD ROAD,,BOARDMAN,OH,44512,9,10,0%,32,0%,34,Achievement,2,82%,48,320,78%,373,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,7,68%,38,357,80%,377,Achievement,4,15%,40,305,7%,349,Achievement,5,10,10,6,10,65,No reduction,01/19/2000,FRESENIUS MEDICAL CARE,05/09/2012
FMC - RICHLAND COUNTY,362619,,,,680 BALLY ROW,,MANSFIELD,OH,44906,9,10,0%,68,3%,76,Achievement,7,94%,101,802,95%,815,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,7,68%,83,875,64%,905,Achievement,7,10%,92,835,10%,857,Achievement,7,10,10,9,10,84,No reduction,02/23/2000,FRESENIUS MEDICAL CARE,07/15/2010
DAVITA - PARMA DIALYSIS,362620,,,,6735 AMES ROAD,,PARMA,OH,44129,9,10,0%,45,0%,39,Achievement,7,94%,62,469,96%,473,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,10,75%,53,509,69%,478,Achievement,10,3%,56,449,8%,452,Achievement,10,10,10,10,10,93,No reduction,10/31/1999,DAVITA,08/28/2012
DCI - WESTERN HILLS,362621,,,,6432 GLENWAY AVENUE,,CINCINNATI,OH,45211,9,4,3%,35,0%,28,Achievement,10,99%,38,376,99%,318,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,0,27%,38,396,23%,339,Achievement,0,24%,38,360,20%,325,Achievement,0,10,10,10,10,60,No reduction,02/19/2000,"DIALYSIS CLINIC, INC.",09/05/2012
DAVITA - SENECA DIALYSIS LLC.,362622,,,,10 STREET LAWRENCE DRIVE,,TIFFIN,OH,44883,9,10,0%,32,0%,33,Achievement,9,96%,44,322,97%,369,Achievement,N/A,Insufficient data,N/A,20,Insufficient data,3,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,7,66%,36,342,64%,396,Achievement,8,8%,41,322,9%,371,Achievement,8,10,10,10,10,93,No reduction,03/28/2000,DAVITA,02/01/2013
DAVITA - WHITE PONDS DIALYSIS,362623,,,,534 WHITE POND DRIVE SUITE A,,AKRON,OH,44320,9,10,0%,39,0%,43,Achievement,10,97%,60,508,95%,551,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,58%,49,505,57%,557,Achievement,5,14%,54,483,15%,535,Achievement,5,10,10,10,10,88,No reduction,04/26/2000,DAVITA,04/17/2012
"DIALYSIS CENTER OF NORTHWEST OHIO, LTD.",362624,,,,2249 NORTH REYNOLDS ROAD,,TOLEDO,OH,43615,9,10,0%,40,0%,45,Achievement,10,98%,54,545,97%,546,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,52%,51,563,49%,573,Achievement,10,4%,51,528,12%,545,Achievement,6,10,10,10,10,90,No reduction,05/31/2000,"US RENAL CARE, INC.",01/14/2014
FMC-CAMPUS KIDNEY DIALYSIS CENTER,362625,,,,1791 KENNY ROAD,,COLUMBUS,OH,43210,9,10,0%,45,0%,39,Achievement,0,85%,56,428,89%,397,Achievement,9,91%,12,95,Insufficient data,64,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,4,59%,50,484,59%,434,Achievement,3,18%,51,443,21%,382,Achievement,3,10,10,10,10,63,No reduction,06/29/2000,FRESENIUS MEDICAL CARE,09/17/2013
FMC - COLUMBUS SOUTHSIDE DIALYSIS CENTER,362626,,,,"3700 SOUTH HIGH STREET, SUITE 163",,COLUMBUS,OH,43207,9,10,0%,22,0%,20,Achievement,8,95%,25,230,94%,206,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,8,69%,23,245,67%,223,Achievement,7,9%,24,228,7%,214,Achievement,7,10,10,10,10,88,No reduction,05/02/2000,FRESENIUS MEDICAL CARE,08/28/2012
"FMC - GREATER COLUMBUS REGIONAL DIALYSIS, LLC",362627,,,,"285 EAST STATE STREET, SUITE 170",,COLUMBUS,OH,43215,9,10,0%,88,0%,90,Achievement,4,90%,113,989,85%,1011,Achievement,N/A,Insufficient data,N/A,73,Insufficient data,70,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,4,0,43%,100,1067,40%,1059,Achievement,5,13%,103,1020,16%,1004,Achievement,3,10,10,8,10,66,No reduction,04/18/2000,FRESENIUS MEDICAL CARE,03/05/2012
WESTERN HILLS DIALYSIS,362628,,,,3267 WESTBOURNE AVENUE,,CINCINNATI,OH,45248,9,10,0%,44,0%,48,Achievement,10,97%,57,499,97%,585,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,64%,53,540,65%,588,Achievement,9,6%,54,516,8%,563,Achievement,8,10,10,10,10,95,No reduction,09/13/2000,DAVITA,07/20/2010
DAVITA - COLUMBUS EAST DIALYSIS,362629,,,,299 OUTERBELT STREET,,COLUMBUS,OH,43213,9,4,3%,40,0%,37,Achievement,10,97%,55,452,97%,432,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,8,69%,45,454,68%,426,Achievement,8,8%,47,415,7%,404,Achievement,8,10,10,10,10,80,No reduction,12/11/2000,DAVITA,03/06/2012
US RENAL CARE OF BOWLING GREEN,362630,,,,"1037 CONNEAUT STREET, SUITE 101",,BOWLING GREEN,OH,43402,9,10,0%,31,0%,33,Achievement,7,94%,37,282,96%,306,Achievement,N/A,Insufficient data,N/A,84,77%,84,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,4,57%,34,307,62%,310,Achievement,4,17%,37,272,25%,292,Improvement,4,10,10,10,10,78,No reduction,02/26/2001,"US RENAL CARE, INC.",08/17/2012
"DIALYSIS CENTERS OF NORTHWEST OHIO, LTD",362631,,,,2400 ENTERPRISE DRIVE,,FREMONT,OH,43420,9,10,0%,47,2%,48,Achievement,4,90%,62,595,97%,562,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,4,N/A,4,2,53%,54,597,48%,592,Achievement,7,10%,57,585,10%,565,Achievement,5,10,10,7,10,71,No reduction,02/21/2001,"US RENAL CARE, INC.",01/14/2014
