Provider Number,Network,Facility Name,Address Line 1,Address Line 2,City,State,Zip,County,Phone Number,Profit or Non-Profit,Chain Owned,Chain Organization,ICH-CAHPS date,ICH-CAHPS data availability code,Lower box percent of patients-nephrologists' communication and caring,Middle box percent of patients-nephrologists' communication and caring,Top box percent of patients-nephrologists' communication and caring,Linearized score of nephrologists' communication and caring,Star rating of nephrologists' communication and caring,Lower box percent of patients-quality of dialysis center care and operations,Middle box percent of patients-quality of dialysis center care and operations,Top box percent of patients-quality of dialysis center care and operations,Linearized score of quality of dialysis center care and operations,Star rating of quality of dialysis center care and operations,Lower box percent of patients-providing information to patients ,Top box percent of patients- providing information to patients,Linearized score of providing information to patients,Star rating of providing information to patients,Lower box percent of patients-rating of the nephrologist ,Middle box percent of patients- rating of the nephrologist,Top box percent of patients- rating of the nephrologist,Linearized score of rating of the nephrologist,Star rating of the nephrologist,Lower box percent of patients-rating of the dialysis center staff ,Middle box percent of patients-rating of the dialysis center staff,Top box percent of patients-rating of the dialysis center staff ,Linearized score of rating of the dialysis center staff,Star rating of the dialysis center staff,Lower box percent of patients-rating of the dialysis facility,Middle box percent of patients-rating of the dialysis facility ,Top box percent of patients-rating of the dialysis facility,Linearized score of rating of the dialysis facility,Star rating of the dialysis facility,Total number of completed interviews from the Fall and Spring Surveys,ICH CAHPS Survey of patients' experiences star rating ,ICH-CAHPS survey response rate
332666,02,ST. JOSEPH'S - CAMILLUS,5101 West Genesee Street,,CAMILLUS,NY,13031,Onondaga,(315) 488-2979,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332667,02,ST. JOSEPH'S - NORTHEAST,4105 Medical Center Drive,,FAYETTEVILLE,NY,13066,Onondaga,(315) 329-2580,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332668,02,ST. JOSEPH'S - CORTLAND,3993 West Road,,CORTLAND,NY,13045,Cortland,(607) 662-0140,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332669,02,DAVITA YONKERS EAST DIALYSIS CENTER,5 ODELL PLAZA,SUITE 131,YONKERS,NY,10701,Westchester,(914) 376-0296,Profit,Yes,DaVita,16APR2021-07JAN2022,001,17,9,74,82,3,12,18,70,85,4,17,83,83,4,7,25,68,88,4,8,16,76,90,4,4,12,84,94,5,35,4,23
332670,02,DAVITA LONG ISLAND RENAL CARE,3460 GREAT NECK ROAD,,AMITYVILLE,NY,11701,Suffolk,(631) 532-6969,Profit,Yes,DaVita,16APR2021-07JAN2022,001,16,16,68,83,3,12,20,68,85,4,16,84,84,4,5,42,53,86,3,6,39,55,84,2,5,27,68,88,4,38,3,19
332671,02,DAVITA NEOMY DIALYSIS CENTER,1122 CONEY ISLAND AVENUE,,BROOKLYN,NY,11230,Kings,(718) 434-1444,Profit,Yes,DaVita,16APR2021-07JAN2022,001,18,13,69,82,3,19,17,64,80,3,31,69,69,1,19,27,54,83,3,12,29,59,85,3,13,25,62,87,3,31,3,16
332672,02,FMS-MONROE COMMUNITY DIALYSIS,435 EAST HENRIETTA ROAD,HOPE BLDG,ROCHESTER,NY,14620,Monroe,(585) 292-0076,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332673,02,QUEENS-LONG ISLAND RENAL INSTITUTE,271-11 76TH AVENUE,,NEW HYDE PARK,NY,11040,Nassau,(718) 289-2600,Non-profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332674,02,LIBERTY HUDSON VALLEY DIALYSIS,19 Laurel Avenue,Suite 101,Cornwall,NY,12518,Orange,(845) 534-9820,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,27,21,52,73,2,21,22,57,77,2,22,78,78,3,31,30,39,74,1,17,30,53,82,2,16,21,63,84,3,43,2,23
332675,02,UHS DIALYSIS - PARK AVENUE,27 PARK AVENUE,,BINGHAMTON,NY,13903,Broome,(607) 762-2225,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332676,02,UHS DIALYSIS - PENNSYLVANIA AVENUE,65 Pennsylvania Avenue,,BINGHAMTON,NY,13903,Broome,(607) 762-2015,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332677,02,BRONX CENTER FOR RENAL DIALYSIS,1010 UNDERHILL AVENUE,,BRONX,NY,10472,Bronx,(718) 863-8300,Profit,No,Independent,16APR2021-07JAN2022,001,18,12,70,81,3,18,23,59,78,2,31,69,69,1,15,24,61,84,3,11,35,54,83,2,9,32,59,86,3,51,2,38
332678,02,DAVITA BOROUGH PARK DIALYSIS,4102 13TH AVENUE,,BROOKLYN,NY,11219,Kings,(718) 435-2112,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332679,02,DAVITA SOUTHTOWNS DIALYSIS,"4910 CAMP ROAD, SUITE 100",,HAMBURG,NY,14075,Erie,(716) 649-4072,Profit,Yes,DaVita,16APR2021-07JAN2022,001,13,9,78,87,4,14,20,66,83,4,15,85,85,5,5,20,75,92,5,5,22,73,91,4,9,15,76,91,4,40,4,32
332680,02,THE ROGOSIN INSTITUTE AUBURNDALE DIALYSIS,39-20 UTOPIA PARKWAY,,FLUSHING,NY,11358,Queens,(347) 783-7700,Non-profit,No,Independent,16APR2021-07JAN2022,001,14,12,74,86,4,13,20,67,84,4,18,82,82,4,15,15,70,86,3,7,25,68,91,4,4,29,67,91,4,49,4,23
332681,02,FRESENIUS KIDNEY CARE - WHEATFIELD,3909 FOREST PARKWAY,,NORTH TONAWANDA,NY,14120,Niagara,(716) 696-6193,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332682,02,DAVITA NIAGARA FALLS KIDNEY CENTER,621 10TH STREET,,NIAGARA FALLS,NY,14301,Niagara,(716) 278-4639,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332683,02,RIVER RENAL SERVICES LLC,462 FIRST AVENUE - HOSP BLDG 5 NORTH,,NEW YORK,NY,10016,New York,(212) 839-0700,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332684,02,DIALYSIS CLINIC INC.,176 WASHINGTON AVE EXTENSION,Suite 100,ALBANY,NY,12203,Albany,(518) 456-2429,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332685,02,US RENAL CARE TONAWANDA DIALYSIS,3161 Eggert Road,,Tonawanda,NY,14150,Erie,(716) 832-0159,Profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332686,02,US RENAL CARE CHEEKTOWAGA DIALYSIS,"2875 UNION ROAD, SUITE 13 C/D",,CHEEKTOWAGA,NY,14227,Erie,(716) 684-0276,Profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332687,02,US RENAL CARE WILLIAMSVILLE DIALYSIS,"7964 TRANSIT ROAD, SUITE 8-A",,WILLIAMSVILLE,NY,14221,Erie,(716) 634-1841,Profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332688,02,FISHKILL DIALYSIS CENTER,60 MERRITT BLVD SUITE 103,,FISHKILL,NY,12524,Dutchess,(845) 440-1280,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332690,02,BRIDGEWATER CENTER FOR DIALYSIS,159 FRONT STREET,,BINGHAMTON,NY,13905,Broome,(607) 722-7225,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332691,02,FREEDOM CENTER OF ROCKLAND COUNTY LLC,30 ROUTE 59,,MONTEBELLO,NY,10901,Rockland,(845) 357-0452,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332692,02,BROOKLYN DIALYSIS CENTER LLC,915 DEAN STREET,,BROOKLYN,NY,11238,Kings,(347) 915-2140,Profit,No,Independent,16APR2021-07JAN2022,001,30,14,56,73,2,29,15,56,74,2,30,70,70,1,23,34,43,79,2,17,40,43,78,2,18,33,49,78,2,34,2,21
332693,02,MOHAWK VALLEY DIALYSIS CENTER INC.,115 TOWNE SQUARE DRIVE,,AMSTERDAM,NY,12010,Montgomery,(518) 627-0280,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332694,02,ROCKAWAY HD LLC,529 BEACH 20TH STREET,,FAR ROCKAWAY,NY,11691,Queens,(718) 327-4503,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332695,02,WORKMEN'S CIRCLE DIALYSIS CENTER,3155 Grace Avenue,,BRONX,NY,10469,Bronx,(718) 379-8100,Non-profit,No,Independent,16APR2021-07JAN2022,001,22,10,68,79,3,21,20,59,78,2,33,67,67,1,22,16,62,82,2,17,34,49,81,2,16,37,47,79,2,30,2,18
332696,02,FRIEDWALD CENTER FOR DIALYSIS,475 NEW HEMPSTEAD ROAD,,NEW CITY,NY,10956,Rockland,(845) 678-2000,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332697,02,FRESENIUS KIDNEY CARE - NEWARK,305 WEST SHORE BOULEVARD,,NEWARK,NY,14513,Wayne,(315) 331-2472,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,13,15,72,85,4,16,12,72,83,4,14,86,86,5,13,27,60,85,3,12,11,77,89,4,10,5,85,91,4,39,4,30
332698,02,FMS-SOUTHERN MANHATTAN DIALYSIS CENTER (MONROE COUNTY),1150 Crosspointe Lane Ste 4,,WEBSTER,NY,14580,Monroe,(585) 872-7395,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332699,02,AVANTUS UPPER MANHATTAN DIALYSIS CENTER,801 AMSTERDAM AVENUE,,NEW YORK,NY,10025,New York,(646) 774-4400,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,15,15,70,84,4,15,18,67,83,4,25,75,75,2,17,22,61,85,3,9,33,58,87,3,7,22,71,90,4,33,3,23
332700,02,FMS-NISKAYUNA DIALYSIS CENTER,2345 NOTT STREET EAST,,SCHENECTADY,NY,12309,Schenectady,(518) 346-5186,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,8,16,76,90,5,12,22,66,84,4,9,91,91,5,0,29,71,94,5,3,25,72,92,5,1,22,77,92,4,31,5,36
332701,02,DAVITA NEWARK WAYNE DIALYSIS,1120 SOUTH MAIN STREET,,NEWARK,NY,14513,Wayne,(315) 331-6958,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332702,02,H.K. FREEDMAN RENAL CENTER,91 PLAZA BOULEVARD,,PLATTSBURGH,NY,12901,Clinton,(518) 566-7043,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,001,16,18,66,82,3,18,25,57,78,2,6,94,94,5,12,27,61,83,3,16,28,56,82,2,17,21,62,81,2,35,3,27
332703,02,DAVITA JAMESTOWN DIALYSIS CENTER,207 FOOTE AVENUE,Dialysis Unit,JAMESTOWN,NY,14701,Chautauqua,(716) 664-8226,Profit,Yes,DaVita,16APR2021-07JAN2022,001,22,20,58,77,3,18,21,61,79,3,14,86,86,5,14,32,54,84,3,10,26,64,86,3,16,23,61,83,2,40,3,34
332704,02,AVANTUS IRVING PLACE DIALYSIS CENTER,IRVING PLACE DIALYSIS,120 EAST 16TH STREET 6TH FLOOR,NEW YORK,NY,10003,New York,(646) 602-6950,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,16,19,65,82,3,21,25,54,77,2,23,77,77,3,14,31,55,84,3,11,31,58,86,3,12,37,51,85,3,34,3,23
332705,02,AVANTUS UPPER EASTSIDE DIALYSIS,315 E 62nd Street,,NEW YORK,NY,10065,New York,(212) 207-3267,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332706,02,AVANTUS HARLEM GREEN DIALYSIS,488 West 128th Street,2nd Floor,NEW YORK,NY,10027,New York,(212) 866-0206,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,22,11,67,79,3,23,16,61,77,2,27,73,73,2,19,23,58,81,2,19,27,54,81,2,22,31,47,80,2,49,2,22
332707,02,DAVITA ORANGE DIALYSIS CENTER,100 CRYSTAL RUN ROAD,STE 102,MIDDLETOWN,NY,10941,Orange,(845) 692-8220,Profit,Yes,DaVita,16APR2021-07JAN2022,001,17,15,68,83,3,27,24,49,72,2,14,86,86,5,17,18,65,87,4,24,43,33,74,1,24,34,42,75,1,32,3,24
332708,02,DAVITA WATERS PLACE DIALYSIS CENTER,1733 EASTCHESTER ROAD,,BRONX,NY,10461,Bronx,(718) 822-1968,Profit,Yes,DaVita,16APR2021-07JAN2022,001,21,13,66,79,3,25,18,57,74,2,28,72,72,2,17,30,53,82,2,20,24,56,80,2,26,23,51,77,2,47,2,25
332709,02,DAVITA LOWVILLE DIALYSIS CENTER,7785 NORTH STATE STREET,STE 1,LOWVILLE,NY,13367,Lewis,(315) 377-3090,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332710,02,ELIZABETHTOWN CENTER LLC,75 PARK STREET,,ELIZABETHTOWN,NY,12932,Essex,(518) 873-2162,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332711,02,DAVITA STATEN ISLAND DIALYSIS CENTER,1139 HYLAN BLVD,,STATEN ISLAND,NY,10305,Richmond,(718) 816-4913,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332712,02,BUSHWICK CENTER FOR RENAL DIALYSIS LLC,51 GEORGIA AVENUE,,BROOKLYN,NY,11207,Kings,(718) 484-9588,Profit,No,Independent,16APR2021-07JAN2022,001,43,13,44,56,1,24,19,57,74,2,45,55,55,1,29,25,46,69,1,17,16,67,80,2,17,23,60,79,2,35,2,25
332713,02,FMS-FREEDOM CENTER OF BUFFALO,52 South Union Road,,Williamsville,NY,14221,Erie,(716) 630-6831,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332714,02,ROGOSIN WEST SIDE,619 West 54th Street,,NEW YORK,NY,10019,New York,(646) 317-0402,Non-profit,No,Independent,16APR2021-07JAN2022,001,7,5,88,93,5,9,9,82,90,5,11,89,89,5,2,26,72,93,5,0,11,89,97,5,2,3,95,98,5,31,5,18
332715,02,HASTINGS HEMODIALYSIS CENTER,20 FOURTH STREET,,MALONE,NY,12953,Franklin,(518) 481-2445,Non-profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332716,02,PROSPECT PARK DIALYSIS,672 PARKSIDE AVENUE,,BROOKLYN,NY,11226,Kings,(718) 408-6190,Profit,Yes,Other,16APR2021-07JAN2022,001,24,12,64,76,3,26,15,59,75,2,35,65,65,1,10,34,56,83,3,9,40,51,81,2,9,42,49,82,2,39,2,15
332717,02,MASSENA DIALYSIS CENTER,290 MAIN STREET,,MASSENA,NY,13662,Saint Lawrence,(315) 705-0101,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332718,02,WESTCHESTER CENTER FOR RENAL CARE,10 CLAREMONT AVE,,MOUNT VERNON,NY,10550,Westchester,(914) 512-9379,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332719,02,FRESENIUS KIDNEY CARE - SARATOGA SPRINGS,373 CHURCH STREET,,SARATOGA SPRINGS,NY,12866,Saratoga,(518) 584-1807,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332720,02,DAVITA NIAGARA DIALYSIS CENTER,2932 MILITARY ROAD,,NIAGARA FALLS,NY,14304,Niagara,(716) 297-4059,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332721,02,FRESENIUS KIDNEY CARE- BAY SHORE,929 SUNRISE HIGHWAY,CHRONIC DIALYSIS CTR.,Bay Shore,NY,11706,Suffolk,(631) 224-8500,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,15,19,66,81,3,14,17,69,84,4,27,73,73,2,11,33,56,84,3,8,23,69,88,3,8,24,68,89,4,59,3,28
332723,02,FREEDOM CENTER OF ROCHESTER,100 Meridian Centre,,ROCHESTER,NY,14618,Monroe,(585) 241-9783,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332724,02,CORAM DIALYSIS CENTER,1500 MIDDLE COUNTRY ROAD,,CENTEREACH,NY,11720,Suffolk,(631) 716-8758,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332725,02,FMS - GREECE DIALYSIS CENTER,1570 LONG POND ROAD,,GREECE,NY,14626,Monroe,(585) 225-1422,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332726,02,REGENCY DIALYSIS CENTER,65 ASHBURTON AVENUE,,YONKERS,NY,10701,Westchester,(914) 963-4572,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332727,02,PARK AVENUE DIALYSIS CENTER LLC,116 EAST 124TH STREET,,NEW YORK,NY,10035,New York,(646) 979-3317,Profit,No,Independent,16APR2021-07JAN2022,001,21,7,72,83,3,20,13,67,82,3,29,71,71,1,12,33,55,84,3,6,34,60,88,3,10,21,69,89,4,43,3,37
332728,02,DAVITA WILLIAMSBRIDGE DIALYSIS CENTER,"3525 WHITE PLAINS ROAD, SUITE B",,BRONX,NY,10467,Bronx,(718) 547-4562,Profit,Yes,DaVita,16APR2021-07JAN2022,001,23,15,62,78,3,19,15,66,81,3,20,80,80,4,16,41,43,80,2,13,32,55,85,3,8,25,67,89,4,33,3,18
332729,02,DAVITA WILLIAMSBRIDGE HOME DIALYSIS CENTER (PD),3525 WHITE PLAINS ROAD,STE. A,BRONX,NY,10467,Bronx,(718) 652-1013,Profit,Yes,DaVita,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332730,02,DAVITA EAST ROCHESTER DIALYSIS,445 WEST COMMERCIAL STREET,,EAST ROCHESTER,NY,14445,Monroe,(585) 218-0517,Profit,Yes,DaVita,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332731,02,MILLS POND DIALYSIS CENTER LLC,134 GREAT EAST NECK ROAD,,WEST BABYLON,NY,11704,Suffolk,(631) 539-5600,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332732,02,DAVITA CORNING DIALYSIS,8 WEST PULTNEY STREET,"Dialysis Unit, SUITE 101",CORNING,NY,14830,Steuben,(607) 962-2790,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332733,02,DAVITA SCHUYLER DIALYSIS,220 STEUBEN STREET,,MONTOUR FALLS,NY,14865,Schuyler,(607) 210-1997,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332734,02,GENESIS SERVICES,74-07 88th Street,,GLENDALE,NY,11385,Queens,(646) 931-1000,Profit,No,Independent,16APR2021-07JAN2022,001,22,23,55,75,2,17,21,62,80,3,26,74,74,2,14,38,48,81,2,7,29,64,86,3,8,25,67,88,4,78,3,33
332735,02,DAVITA IVY DIALYSIS,602 IVY STREET,,ELMIRA,NY,14905,Chemung,(607) 737-4186,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332736,02,FREEDOM CENTER OF WESTMERE,178 Washington Ave Extension,Suite 3,ALBANY,NY,12203,Albany,(518) 407-0505,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332737,02,PREMIER DIALYSIS CENTER,30 Hatfield Lane,Building 2,GOSHEN,NY,10924,Orange,(845) 291-7495,Non-profit,Yes,American Renal Associates,16APR2021-07JAN2022,001,19,14,67,82,3,17,17,66,82,3,14,86,86,5,8,18,74,89,4,14,11,75,88,3,7,16,77,91,4,39,4,36
332738,02,NEW YORK DIALYSIS SERVICES INC.,760 South Broadway,,HICKSVILLE,NY,11801,Nassau,(516) 827-1370,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332739,02,PALM GARDEN DIALYSIS CENTER,615 Avenue C,,BROOKLYN,NY,11218,Kings,(718) 633-3300,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332740,02,SCHENECTADY PARTNERS LLC,1594 State Street,,SCHENECTADY,NY,12304,Schenectady,(518) 382-5309,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,001,23,20,57,76,3,18,24,58,78,2,20,80,80,4,22,26,52,82,2,13,20,67,86,3,12,22,66,87,3,35,3,30
332741,02,DCI-EAST GREENBUSH,583 Columbia Turnpike,,EAST GREENBUSH,NY,12061,Rensselaer,(518) 477-4217,Non-profit,Yes,"Dialysis Clinic, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332742,02,PENINSULA CONTINUUM SERVICES LLC,50-15 Beach Channel Drive,,FAR ROCKAWAY,NY,11691,Queens,(718) 734-2190,Profit,No,Independent,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332743,02,VESTAL HEALTHCARE LLC,176-35 Union Turnpike,,FRESH MEADOWS,NY,11366,Queens,(718) 969-3293,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332744,02,GLOVERSVILLE DIALYSIS CENTER,46 Easterly Street,,GLOVERSVILLE,NY,12078,Fulton,(518) 725-4821,Profit,Yes,American Renal Associates,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332745,02,NEW YORK DIALYSIS SERVICES INC.,595 Degraw Street,,BROOKLYN,NY,11217,Kings,(718) 852-0197,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,13,11,76,86,4,25,19,56,73,2,37,63,63,1,8,31,61,88,4,19,30,51,81,2,21,15,64,84,3,37,3,21
332746,02,VESTAL HEALTHCARE LLC,1776 Eastchester Road,,BRONX,NY,10461,Bronx,(718) 518-7902,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332747,02,US RENAL CARE WEST CHEEKTOWAGA,2861 Harlem Road,,BUFFALO,NY,14225,Erie,(716) 891-7429,Profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,001,6,13,81,92,5,6,20,74,88,4,18,82,82,4,2,13,85,94,5,0,8,92,95,5,1,4,95,97,5,32,5,31
332748,02,NEW YORK DIALYSIS SERVICES INC.,33 Walt Whitman Road,,HUNTINGTON STATION,NY,11746,Suffolk,(631) 547-4150,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332749,02,DAVITA CLINTON HILL DIALYSIS,1275 Bedford Avenue,,BROOKLYN,NY,11216,Kings,(718) 623-0631,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332750,02,DAVITA FLORAL PARK HOME DIALYSIS (PD),1 Cisney Ave,,FLORAL PARK,NY,11001,Nassau,(516) 437-0789,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332751,02,HPLD PARTNERS LLC,386 Violet Avenue,,POUGHKEEPSIE,NY,12601,Dutchess,(845) 454-4181,Profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332752,02,DAVITA EAST ISLIP DIALYSIS,200 Carleton Avenue,,EAST ISLIP,NY,11730,Suffolk,(631) 581-0897,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332753,02,MAIN STREET DIALYSIS CENTER LLC,3 North Main Street,,FREEPORT,NY,11520,Nassau,(516) 771-7112,Profit,No,Independent,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332754,02,DAVITA JULIA AND ISRAEL WALDBAUM DIALYSIS,100 COMMUNITY DRIVE,WALDBAUM DIALYSIS CENTER,GREAT NECK,NY,11021,Nassau,(516) 465-8250,Profit,Yes,DaVita,16APR2021-07JAN2022,001,12,20,68,85,4,19,23,58,78,2,27,73,73,2,2,22,76,92,5,2,36,62,88,3,12,27,61,87,3,51,3,22
332755,02,DIALYZE DIRECT NY LLC,4714 16th Avenue,,BROOKLYN,NY,11204,Kings,(718) 506-1735,Profit,Yes,Other,16APR2021-07JAN2022,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332756,02,FRESENIUS KIDNEY CARE - HORNELL,1 BETHESDA DRIVE,Dialysis Unit,HORNELL,NY,14843,Steuben,(607) 324-8660,Non-profit,Yes,Fresenius Medical Care,16APR2021-07JAN2022,001,15,22,63,81,3,15,21,64,82,3,20,80,80,4,12,37,51,82,2,3,35,62,89,4,4,28,68,91,4,30,3,39
332757,02,DAVITA HERTEL AVENUE DIALYSIS,699 Hertel Ave,,BUFFALO,NY,14207,Erie,(716) 871-4172,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332758,02,DSI NEWBURGH LLC.,39 North Plank Rd,Suite 5,NEWBURGH,NY,12550,Orange,(845) 476-3788,Profit,Yes,"US Renal Care, Inc.",16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332759,02,DAVITA SEAWAY DIALYSIS,999 E. Ridge Road,Suite 11,ROCHESTER,NY,14621,Monroe,(585) 266-7348,Profit,Yes,DaVita,16APR2021-07JAN2022,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
