Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Address 1,Address 2,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,Number of Patients Included in VAT Catheter Measure Score Achievement Period,VAT Catheter Achievement Period Numerator,VAT Catheter Achievement Period Denominator,VAT Catheter Improvement Measure Rate,VAT Catheter Improvement Period Numerator,VAT Catheter Improvement Period Denominator,VAT Catheter Measure Score Applied,VAT Fistula Measure Score,VAT Fistula Achievement Measure Rate,Number of Patients Included in VAT Fistula Measure Score Achievement Period,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Improvement Measure Rate,VAT Fistula Improvement Period Numerator,VAT Fistula Improvement Period Denominator,VAT Fistula Measure Score Applied,VAT Combined Measure Score,National Avg VAT Combined Measure Score,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Hemodialysis Measure Score Achievement Period,Kt/V Adult Hemodialysis Achievement Period Numerator,Kt/V Adult Hemodialysis Achievement Period Denominator,Kt/V Adult Hemodialysis Improvement Measure Rate,Kt/V Adult Hemodialysis Improvement Period Numerator,Kt/V Adult Hemodialysis Improvement Period Denominator,Kt/V Adult Hemodialysis Measure Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Peritoneal Dialysis Measure Score Achievement Period,Kt/V Adult Peritoneal Dialysis Achievement Period Numerator,Kt/V Adult Peritoneal Dialysis Achievement Period Denominator,Kt/V Adult Peritoneal Dialysis Improvement Measure Rate,Kt/V Adult Peritoneal Dialysis Improvement Period Numerator,Kt/V Adult Peritoneal Dialysis Improvement Period Denominator,Kt/V Adult Peritoneal Dialysis Measure Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Pediatric Hemodialysis Measure Score Achievement Period,Kt/V Pediatric Hemodialysis Achievement Period Numerator,Kt/V Pediatric Hemodialysis Achievement Period Denominator,Kt/V Pediatric Hemodialysis Improvement Measure Rate,Kt/V Pediatric Hemodialysis Improvement Period Numerator,Kt/V Pediatric Hemodialysis Improvement Period Denominator,Kt/V Pediatric Hemodialysis Measure Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Achievement Measure Rate,Number of Patients Included in Hypercalcemia Measure Score Achievement Period,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Improvement Measure Rate,Hypercalcemia Improvement Period Numerator,Hypercalcemia Improvement Period Denominator,Hypercalcemia Measure Score Applied,NHSN Measure Score,NHSN Achievement Measure Ratio,Number of Patients Included in NHSN Measure Score Achievement Period,NHSN Observed Achievement Period Numerator,NHSN Predicted Achievement Period Denominator,NHSN Improvement Measure Ratio,NHSN Observed Improvement Period Numerator,NHSN Predicted Improvement Period Denominator,NHSN Measure Score Applied,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,SRR Measure Score,SRR Achievement Measure Ratio,SRR Index Discharges,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,Total Performance Score,PY2017 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2015",Date of Ownership Record Update
DAVITA DIALYSIS OF CHADBOURN,342628,-,210 EAST STRAWBERRY BLVD,-,CHADBOURN,NC,28431,6,5,11%,34,30,278,14%,47,345,Achievement,2,58%,32,173,296,58%,208,358,Achievement,4,6,9,99%,35,269,271,100%,339,339,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,44,1,372,1%,4,439,Achievement,8,0.382,57,1,2.615,0.739,2,2.706,Achievement,No Score,10,10,0,1.33,52,18,13.58,0.99,10,10.14,Achievement,69,No Reduction,1/14/2003,DAVITA,12/15/2007
DAVITA WAYNESVILLE DIALYSIS CENTER,342629,-,11 PARK TERRACE DRIVE,-,CLYDE,NC,28721,6,6,9%,44,40,437,10%,44,447,Achievement,10,85%,45,397,466,83%,392,471,Achievement,8,6,8,98%,47,404,414,100%,433,435,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,64,1,599,0%,0,586,Achievement,10,0,126,0,3.919,0.492,2,4.061,Achievement,10,8,10,1,1.26,72,24,19.12,0.85,11,12.97,Achievement,77,No Reduction,5/19/2003,DAVITA,5/6/2010
RAI CARE CENTERS  WARSAW,342630,-,213 W COLLEGE STREET,-,WARSAW,NC,28398,6,7,7%,25,16,228,4%,10,226,Achievement,1,50%,26,118,248,45%,112,247,Improvement,4,6,5,95%,25,209,221,95%,202,213,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,8,1%,32,2,303,3%,8,270,Achievement,4,1.3,48,3,2.309,2.318,5,2.157,Improvement,No Score,9,10,10,0.5,23,3,5.96,0.58,4,6.87,Achievement,69,No Reduction,9/12/2003,RENAL ADVANTAGE,6/1/2016
COPPERFIELD DIALYSIS,342631,-,1030 VINEHAVEN DR,-,CONCORD,NC,28025,6,7,8%,69,46,561,11%,59,542,Achievement,3,59%,67,379,637,50%,282,566,Achievement,5,6,6,96%,75,542,566,97%,485,499,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,10,0%,89,2,733,0%,0,716,Achievement,5,1.407,116,7,4.974,2.836,17,5.995,Improvement,10,9,9,8,0.76,78,16,21.17,1.06,24,22.68,Achievement,73,No Reduction,10/29/2003,DAVITA,1/15/2016
FRESENIUS MEDICAL CARE OF AYDEN,342632,-,3793 LEE STREET,-,AYDEN,NC,28513,6,9,4%,63,26,618,3%,15,586,Achievement,5,66%,61,426,649,68%,423,626,Achievement,7,6,4,94%,67,551,589,95%,553,582,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,4,7,8,1%,69,6,655,3%,19,645,Achievement,0,2.912,97,10,3.434,0.307,1,3.255,Achievement,10,9,10,7,0.84,76,18,21.5,1.35,26,19.3,Achievement,62,No Reduction,12/1/2003,FRESENIUS MEDICAL CARE,4/6/2015
KING DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342633,-,140 MOORE ROAD,-,KING,NC,27021,6,4,18%,33,44,247,31%,86,276,Improvement,8,73%,28,203,279,61%,184,303,Achievement,6,6,10,100%,30,226,226,98%,219,223,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,64,0,528,0%,0,509,Achievement,6,0.734,73,3,4.088,0.903,4,4.43,Achievement,10,10,10,5,0.95,66,16,16.85,1.17,22,18.75,Achievement,79,No Reduction,1/2/2004,WAKE FOREST UNIVERSITY,5/26/2010
FMC OF EAST GREENSBORO,342634,-,3839 BURLINGTON ROAD,-,GREENSBORO,NC,27405,6,7,7%,77,48,726,8%,59,742,Achievement,0,50%,73,385,775,48%,377,789,Achievement,4,6,6,96%,79,672,701,90%,641,716,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,3,6%,119,70,1214,9%,100,1130,Improvement,4,1.136,183,8,7.044,1.868,15,8.028,Achievement,10,10,9,0,1.46,129,48,32.78,1.34,46,34.25,Achievement,50,0.50%,12/31/2003,FRESENIUS MEDICAL CARE,3/24/2014
FRESENIUS MEDICAL SERVICES OF CATAWBA VALLEY,342635,-,301 10TH STREET NW,SUITE C 101,CONOVER,NC,28613,6,10,3%,76,26,748,3%,20,676,Achievement,10,93%,74,735,792,92%,664,722,Achievement,10,6,7,97%,79,716,737,98%,666,682,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,6,2%,90,22,892,2%,17,823,Achievement,8,0.241,116,1,4.152,0.507,2,3.945,Achievement,10,10,10,8,0.73,60,12,16.53,0.65,11,16.93,Achievement,84,No Reduction,12/29/2003,FRESENIUS MEDICAL CARE,4/6/2015
WEST IREDELL DIALYSIS CENTER,342636,-,115 WESTBROOK LANE,-,STATESVILLE,NC,28625,6,7,7%,50,32,456,4%,18,481,Achievement,6,69%,48,340,493,69%,362,523,Achievement,7,6,9,99%,49,417,421,99%,467,470,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,61,0,568,1%,7,654,Achievement,6,1.351,85,4,2.96,4.096,14,3.418,Improvement,10,10,10,7,0.79,100,22,27.72,0.62,17,27.46,Achievement,82,No Reduction,12/31/2003,WAKE FOREST UNIVERSITY,5/26/2010
FOREST HILLS DIALYSIS,342637,-,1605 MEDICAL PARK DRIVE WEST,-,WILSON,NC,27893,6,8,6%,101,59,917,6%,54,900,Achievement,6,68%,96,669,986,68%,639,946,Achievement,7,6,6,96%,103,866,902,97%,855,885,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,10,0%,130,3,1144,0%,1,1042,Achievement,1,2.171,135,16,7.37,2.655,14,5.272,Improvement,10,10,10,3,1.12,144,42,37.63,0.69,19,27.39,Achievement,63,No Reduction,3/10/2004,DAVITA,6/17/2014
SOUTHERN PINES DIALYSIS CENTER,342638,-,209 WINDSTAR PLACE,-,SOUTHERN PINES,NC,28387,6,10,1%,44,4,366,1%,4,319,Achievement,2,58%,42,238,411,57%,201,352,Achievement,6,6,10,100%,48,367,368,99%,315,317,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,58,1,531,0%,0,503,Achievement,10,0,90,0,2.188,0.956,2,2.092,Achievement,10,10,10,10,0.22,40,2,9.19,0.36,3,8.23,Achievement,94,No Reduction,6/28/2004,DAVITA,12/23/2011
THOMASVILLE DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342639,-,10 LAURA LANE,-,THOMASVILLE,NC,27360,6,0,27%,62,134,495,28%,169,600,Achievement,5,66%,55,357,540,57%,351,616,Achievement,2,6,9,99%,60,454,458,98%,511,521,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,112,3,924,0%,4,864,Achievement,1,1.617,169,15,9.277,1.393,13,9.334,Achievement,10,10,10,8,0.78,138,31,39.84,0.94,39,41.53,Achievement,68,No Reduction,8/23/2004,NOT A CHAIN,2/25/2013
REIDSVILLE DIALYSIS,342640,-,1307 FREEWAY DRIVE,-,REIDSVILLE,NC,27320,6,5,10%,43,41,420,1%,6,407,Achievement,3,60%,41,268,445,68%,282,417,Achievement,4,6,8,98%,47,416,425,99%,401,407,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,6,2%,87,13,813,2%,12,725,Achievement,5,0.964,113,5,5.189,0.219,1,4.561,Achievement,10,10,10,4,1.04,72,18,17.32,1.13,18,15.87,Achievement,65,No Reduction,6/14/2004,DAVITA,5/13/2010
ROCKINGHAM KIDNEY CENTER,342641,-,2206 BARNES STREET,-,REIDSVILLE,NC,27320,6,1,18%,36,64,363,16%,56,347,Achievement,3,53%,33,203,381,40%,142,359,Improvement,2,6,5,95%,39,327,343,90%,304,336,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,8,1%,61,9,618,7%,41,599,Achievement,4,1.058,74,4,3.781,0.544,2,3.679,Achievement,10,9,10,1,1.23,81,31,25.3,1.18,27,22.86,Achievement,52,0.50%,11/10/2004,FRESENIUS MEDICAL CARE,9/7/2015
FMCNA SOUTHWEST WAKE DIALYSIS,342642,-,320 GIDEON CREEK WAY,-,RALEIGH,NC,27603,6,8,5%,83,44,853,5%,43,790,Achievement,4,64%,78,559,872,62%,542,873,Achievement,6,6,0,91%,88,775,853,94%,775,823,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,0,7,10,0%,124,4,1258,2%,26,1181,Achievement,6,0.619,156,4,6.458,1.508,9,5.968,Achievement,10,9,10,1,1.21,105,30,24.89,0.89,18,20.28,Achievement,56,0.50%,12/22/2004,FRESENIUS MEDICAL CARE,1/10/2016
FMC OF WEST FAYETTEVILLE,342643,-,6959 NEXUS COURT,-,FAYETTEVILLE,NC,28304,6,7,8%,127,105,1269,10%,107,1121,Achievement,3,61%,122,815,1338,61%,744,1224,Achievement,5,6,5,95%,134,1163,1227,95%,1036,1091,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,6,3%,152,47,1618,8%,106,1383,Improvement,5,0.846,215,8,9.459,1.776,16,9.007,Achievement,10,9,10,2,1.17,204,64,54.81,1.14,59,51.83,Achievement,58,0.50%,2/1/2005,FRESENIUS MEDICAL CARE,8/18/2010
FRESENIUS MEDICAL CARE OF SPRING HOPE,342644,-,102 DODD STREET,-,SPRING HOPE,NC,27882,6,4,13%,43,46,341,11%,37,330,Achievement,3,60%,40,231,387,67%,247,367,Achievement,4,6,3,93%,47,333,357,95%,312,330,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,3,7,2,5%,48,24,505,7%,31,418,Improvement,4,1.166,86,5,4.29,1.15,4,3.479,Achievement,No Score,9,10,2,1.18,77,24,20.29,1.2,24,19.96,Achievement,47,1.00%,1/26/2005,FRESENIUS MEDICAL CARE,10/12/2015
MCDOWELL COUNTY DIALYSIS,342645,-,100 SPAULDING ROAD # 2,-,MARION,NC,28752,6,8,6%,32,14,253,18%,52,288,Achievement,10,89%,29,247,278,67%,219,327,Achievement,9,6,3,93%,31,224,240,95%,236,248,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,3,7,10,0%,49,0,416,1%,3,418,Achievement,10,0,90,0,2.031,0.757,2,2.641,Achievement,No Score,8,10,5,0.97,41,10,10.18,0.97,10,10.28,Achievement,77,No Reduction,2/14/2005,DAVITA,3/4/2009
FMC NEW HOPE DIALYSIS,342646,-,835 SOUTH NEW HOPE ROAD,-,RALEIGH,NC,27610,6,5,10%,98,86,898,13%,101,788,Achievement,3,59%,92,574,969,59%,538,906,Achievement,4,6,0,88%,86,672,768,91%,615,677,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,0,7,6,2%,139,27,1404,4%,48,1263,Achievement,4,1.168,164,9,7.703,1.595,11,6.897,Achievement,10,8,10,6,0.89,138,32,36.07,0.81,23,28.49,Achievement,52,0.50%,4/18/2005,FRESENIUS MEDICAL CARE,4/30/2013
FMS DIALYSIS SERVICES OF OXFORD,342647,-,1620 WILLIAMSBORO STREET,-,OXFORD,NC,27565,6,9,4%,56,21,575,3%,16,579,Achievement,7,72%,55,436,603,75%,467,625,Achievement,8,6,8,98%,57,550,561,99%,546,553,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,75,4,748,4%,27,746,Achievement,10,0,92,0,3.664,0.62,2,3.223,Achievement,10,10,10,1,1.22,59,19,15.62,1.22,24,19.74,Achievement,77,No Reduction,3/22/2006,FRESENIUS MEDICAL CARE,11/23/2015
FRESENIUS MEDICAL CARE OF LILLINGTON,342648,-,1605 SOUTH MAIN STREET,-,LILLINGTON,NC,27546,6,2,16%,31,44,280,11%,36,338,Achievement,4,63%,28,180,287,59%,217,367,Achievement,3,6,0,86%,31,239,279,91%,303,333,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,0,7,0,5%,42,19,390,5%,21,443,Achievement,8,0.388,57,1,2.577,0.297,1,3.371,Achievement,No Score,7,10,3,1.1,36,11,9.3,0.86,14,16.34,Achievement,44,1.00%,6/14/2006,FRESENIUS MEDICAL CARE,12/31/2011
SMOKEY MOUNTAIN DIALYSIS DENOVO FACILITY,342649,-,1611 ANDREWS RD,-,MURPHY,NC,28906,6,3,14%,31,35,259,10%,23,235,Achievement,10,80%,28,226,283,76%,224,293,Achievement,6,6,9,99%,36,265,267,96%,236,246,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,41,0,350,0%,0,325,Achievement,10,0,76,0,2.474,0,0,2.401,Achievement,No Score,9,10,9,0.69,29,5,6.95,0.52,3,5.76,Achievement,89,No Reduction,12/13/2006,DAVITA,10/5/2015
GREENE COUNTY DIALYSIS CENTER,342650,-,1025 KINGOLD BLVD,-,SNOW HILL,NC,28580,6,10,3%,44,14,407,2%,8,499,Achievement,3,59%,44,255,434,63%,336,532,Achievement,7,6,7,97%,43,360,370,99%,478,481,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,56,4,496,0%,1,561,Achievement,6,0.788,76,2,2.538,0.75,2,2.668,Achievement,No Score,10,10,9,0.7,58,10,14.35,1.12,15,13.45,Achievement,80,No Reduction,12/29/2006,DAVITA,9/15/2014
ST PAULS DIALYSIS CENTER,342651,-,564 MCLEAN ST,-,SAINT PAULS,NC,28384,6,10,1%,17,2,141,1%,2,148,Achievement,8,74%,16,112,158,70%,105,151,Achievement,9,6,10,100%,16,140,140,99%,157,158,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,23,1,194,1%,1,200,Achievement,10,0,40,0,1.035,0,0,1.353,Achievement,No Score,10,10,8,0.77,17,4,4.1,0.32,1,3.11,Achievement,95,No Reduction,1/10/2007,DAVITA,4/18/2009
BELMONT DIALYSIS CENTER,342652,-,5010 MEDICAL CARE COURT,-,BELMONT,NC,28012,6,10,1%,50,6,440,1%,3,379,Achievement,6,68%,49,339,499,74%,295,398,Achievement,8,6,8,98%,51,433,441,98%,378,386,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,6,4%,56,27,623,12%,63,531,Improvement,3,1.409,101,5,3.549,0.341,1,2.934,Achievement,10,10,10,6,0.87,79,16,18.4,1.09,17,15.57,Achievement,72,No Reduction,3/2/2007,FRESENIUS MEDICAL CARE,9/7/2015
FMS SIX FORKS DIALYSIS CLINIC,342653,-,3411 WEST MILLBROOK RD,-,RALEIGH,NC,27613,6,7,8%,38,3,38,4%,18,449,Achievement,No Score,No Rate,<11,,,70%,,,N/A,7,6,1,86%,50,31,36,83%,362,438,Improvement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,1,7,2,4%,48,2,48,1%,7,645,Achievement,No Score,No Rate,77,6,3.887,0.919,4,4.352,N/A,No Score,10,10,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,51,0.50%,3/27/2007,FRESENIUS MEDICAL CARE,6/26/2010
INDEPENDENT NEPHROLOGY SERVICES HUNTERSVILLE,342654,-,9920 KINCEY AVENUE STE 140,-,HUNTERSVILLE,NC,28078,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,7,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,No Score,No Score,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,No Reduction,4/25/2007,FRESENIUS MEDICAL CARE,1/16/2009
INDEPENDENT NEPHROLOGY SERVICES CHARLOTTE,342655,-,8430 UNIVERSITY EXECUTIVE PARK DR STE 690,-,CHARLOTTE,NC,28262,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,7,89%,15,97,118,75%,69,92,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,2%,21,5,176,11%,18,160,Improvement,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,10,10,0,1.28,23,9,4.94,1.25,6,4.81,Achievement,60,No Reduction,6/21/2007,FRESENIUS MEDICAL CARE,3/16/2010
INDEPENDENT NEPHROLOGY SERVICES IREDELL COUNTY,342656,-,124 PROFESSIONAL PARK DRIVE SUITE B,-,MOORESVILLE,NC,28117,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,7,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,No Score,No Score,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,No Reduction,7/11/2007,FRESENIUS MEDICAL CARE,1/16/2007
INS STATESVILLE,342657,-,2603 DAVIE AVENUE,-,STATESVILLE,NC,28625,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,7,89%,12,60,76,69%,67,97,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,18,0,129,0%,0,129,Achievement,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,9,10,7,0.91,19,5,3.87,1.54,7,4.56,Improvement,82,No Reduction,7/11/2007,NOT A CHAIN,1/16/2009
FRESENIUS MEDICAL CARE APEX,342658,-,1000 AMERICAN WAY,-,APEX,NC,27502,6,8,6%,42,23,392,6%,25,392,Achievement,8,74%,42,311,418,75%,324,433,Achievement,8,6,7,97%,43,372,384,97%,399,412,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,56,4,534,3%,18,550,Achievement,6,0.716,98,2,2.792,1.375,4,2.91,Achievement,10,10,10,10,0.51,37,4,7.86,0.58,6,10.34,Achievement,83,No Reduction,8/17/2007,FRESENIUS MEDICAL CARE,2/16/2015
WALLACE DIALYSIS,342659,-,5650 S OLD NC 41 HWY,-,WALLACE,NC,28466,6,8,5%,55,23,455,3%,11,433,Achievement,1,54%,50,266,490,59%,283,478,Achievement,5,6,9,99%,56,463,467,99%,461,464,Achievement,7,89%,14,80,98,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,85,3,741,0%,0,626,Achievement,8,0.241,95,1,4.144,0.98,3,3.062,Achievement,10,10,9,0,1.39,81,31,22.3,0.98,11,11.2,Achievement,70,No Reduction,11/30/2007,DAVITA,9/10/2015
MAYLAND DIALYSIS CENTER,342660,-,575 ALTAPASS HWY,-,SPRUCE PINE,NC,28777,6,6,9%,18,16,130,4%,6,141,Achievement,10,79%,14,112,143,92%,139,151,Achievement,8,6,9,99%,20,138,139,99%,132,134,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,23,4,165,0%,0,149,Achievement,0,2.425,43,4,1.649,0,0,1.288,Achievement,No Score,9,10,10,0.63,18,3,4.71,0.88,6,6.79,Achievement,74,No Reduction,12/31/2007,DAVITA,1/1/2008
"DIALYSIS CLINIC, INC",342661,-,108 CREEKSIDE DR,-,SHELBY,NC,28150,6,10,3%,27,8,285,3%,8,281,Achievement,9,78%,25,229,294,70%,208,298,Achievement,10,6,9,99%,25,260,262,97%,250,257,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,32,3,344,3%,10,360,Achievement,10,0,42,0,1.541,0,0,2.217,Achievement,No Score,10,10,10,0.56,34,5,8.87,1.12,11,9.86,Achievement,96,No Reduction,5/21/2008,"DIALYSIS CLINIC, INC.",10/21/2014
FRESENIUS MEDICAL CARE ST PAULS,342662,-,153 EAST MCLEAN ST,-,ST PAULS,NC,28358,6,7,7%,51,34,461,9%,40,435,Achievement,2,57%,47,282,493,60%,276,462,Achievement,5,6,5,95%,52,431,454,97%,404,415,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,6,2%,66,13,602,3%,16,549,Achievement,3,1.311,89,5,3.813,0.684,3,4.383,Achievement,10,10,10,6,0.87,64,15,17.25,1.37,19,13.9,Achievement,62,No Reduction,8/18/2008,FRESENIUS MEDICAL CARE,10/28/2013
NORTH CHARLOTTE,342663,-,6620 OLD STATESVILLE ROAD,-,CHARLOTTE,NC,28269,6,7,7%,121,81,1127,3%,30,969,Achievement,6,67%,113,805,1201,71%,744,1050,Achievement,7,6,9,99%,130,1118,1134,99%,997,1010,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,158,35,1530,1%,7,1341,Achievement,5,0.856,211,7,8.18,0.155,1,6.466,Achievement,10,10,10,4,1.04,143,38,36.71,0.73,21,28.91,Achievement,72,No Reduction,7/28/2008,DAVITA,4/11/2016
FRESENIUS MEDICAL CARE SCOTLAND COUNTY DIALYSIS,342664,-,1061 ABERDEEN ROAD,-,LAURINBURG,NC,28353,6,5,10%,37,35,350,4%,16,361,Achievement,0,48%,37,181,375,48%,187,390,Achievement,3,6,0,91%,37,308,340,94%,344,366,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,0,7,9,1%,44,4,406,10%,44,421,Improvement,10,0,56,0,2.434,0.472,1,2.12,Achievement,No Score,7,10,2,1.18,46,15,12.76,1.09,9,8.29,Achievement,55,0.50%,9/3/2008,FRESENIUS MEDICAL CARE,10/6/2014
YADKIN DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342665,-,225 WASHINGTON STREET,-,YADKINVILLE,NC,27055,6,6,9%,22,18,169,2%,3,150,Achievement,9,78%,20,138,179,94%,147,156,Achievement,7,6,9,99%,21,158,159,99%,145,146,Achievement,9,95%,26,168,176,79%,116,147,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,64,0,542,0%,2,494,Achievement,3,1.34,52,3,2.238,0.862,1,1.16,Achievement,No Score,10,10,6,0.9,67,16,17.84,0.87,13,14.91,Achievement,76,No Reduction,9/5/2008,WAKE FOREST UNIVERSITY,9/16/2008
MARSHVILLE DIALYSIS CENTER,342666,-,7260 E MARSHVILLE BLVD,-,MARSHVILLE,NC,28103,6,10,2%,27,5,270,1%,3,299,Achievement,4,62%,26,170,275,61%,185,304,Achievement,7,6,9,99%,28,262,264,100%,289,289,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,10,0%,33,1,340,0%,0,329,Achievement,10,0,42,0,1.554,0.58,1,1.724,Achievement,No Score,9,10,10,0.58,24,4,6.85,1.53,11,7.18,Achievement,92,No Reduction,12/22/2008,DAVITA,9/17/2013
